"query","candidate","type","p_relevant","p_irrelevant","adj_score","margin","keep","decision"
,,"S","0.884127","0.115873","0.884127","0.768254","True","keep"
,,"S","0.944896","0.055104","0.944896","0.889792","True","keep"
,,"S","0.973709","0.026291","0.973709","0.947418","True","keep"
,,"T","0.936888","0.063112","0.936888","0.873776","True","keep"
,,"S","0.830508","0.169492","0.830508","0.661016","True","keep"
,,"S","0.944577","0.055423","0.944577","0.889154","True","keep"
,,"T","0.848813","0.151187","0.848813","0.697626","True","keep"
,,"S","0.92707","0.07293","0.92707","0.85414","True","keep"
,,"S","0.946725","0.053276","0.946725","0.893449","True","keep"
,,"S","0.866821","0.133179","0.866821","0.733642","True","keep"
,,"S","0.967172","0.032828","0.967172","0.934344","True","keep"
,,"T","0.941429","0.058571","0.941429","0.882858","True","keep"
,,"T","0.819406","0.180594","0.819406","0.638812","True","keep"
,,"S","0.954246","0.045754","0.954246","0.908492","True","keep"
,,"T","0.926857","0.073143","0.926857","0.853714","True","keep"
,,"S","0.926341","0.073659","0.926341","0.852682","True","keep"
,,"S","0.496278","0.503722","0.496278","-0.00744400000000001","True","keep"
,,"S","0.905534","0.094466","0.905534","0.811068","True","keep"
,,"S","0.938929","0.061071","0.938929","0.877858","True","keep"
,,"S","0.874525","0.125475","0.874525","0.74905","True","keep"
,,"S","0.866202","0.133799","0.866202","0.732403","True","keep"
,,"S","0.939207","0.060793","0.939207","0.878414","True","keep"
,,"S","0.705902","0.294098","0.705902","0.411804","True","keep"
,,"S","0.964066","0.035934","0.964066","0.928132","True","keep"
,,"S","0.944009","0.055991","0.944009","0.888018","True","keep"
,,"T","0.915802","0.084198","0.915802","0.831604","True","keep"
,,"T","0.410805","0.589195","0.410805","-0.17839","True","keep"
,,"T","0.924602","0.075398","0.924602","0.849204","True","keep"
,,"S","0.953567","0.046433","0.953567","0.907134","True","keep"
,,"T","0.337535","0.662465","0.337535","-0.32493","True","keep"
,,"S","0.655804","0.344196","0.655804","0.311608","True","keep"
,,"S","0.646147","0.353853","0.646147","0.292294","True","keep"
,,"S","0.216281","0.783719","0.216281","-0.567438","True","keep"
,,"T","0.928672","0.071328","0.928672","0.857344","True","keep"
,,"T","0.271526","0.728474","0.271526","-0.456948","True","keep"
,,"S","0.966016","0.033984","0.966016","0.932032","True","keep"
,,"S","0.363464","0.636536","0.363464","-0.273072","True","keep"
,,"S","0.909071","0.090929","0.909071","0.818142","True","keep"
,,"S","0.945657","0.054343","0.945657","0.891314","True","keep"
,,"S","0.971215","0.028785","0.971215","0.94243","True","keep"
,,"S","0.972817","0.027183","0.972817","0.945634","True","keep"
,,"S","0.819207","0.180793","0.819207","0.638414","True","keep"
,,"S","0.94097","0.05903","0.94097","0.88194","True","keep"
,,"T","0.889476","0.110524","0.889476","0.778952","True","keep"
,,"T","0.429002","0.570998","0.429002","-0.141996","True","keep"
,,"T","0.71255","0.28745","0.71255","0.4251","True","keep"
,,"T","0.916841","0.083159","0.916841","0.833682","True","keep"
,,"T","0.729906","0.270094","0.729906","0.459812","True","keep"
,,"S","0.939175","0.060825","0.939175","0.87835","True","keep"
,,"S","0.976612","0.023388","0.976612","0.953224","True","keep"
,,"S","0.826848","0.173152","0.826848","0.653696","True","keep"
,,"T","0.875317","0.124683","0.875317","0.750634","True","keep"
,,"T","0.96208","0.03792","0.96208","0.92416","True","keep"
,,"T","0.835223","0.164777","0.835223","0.670446","True","keep"
,,"S","0.347337","0.652663","0.347337","-0.305326","True","keep"
,,"T","0.941827","0.058173","0.941827","0.883654","True","keep"
,,"S","0.799106","0.200894","0.799106","0.598212","True","keep"
,,"S","0.963388","0.036612","0.963388","0.926776","True","keep"
,,"S","0.970647","0.029352","0.970647","0.941295","True","keep"
,,"T","0.957372","0.042628","0.957372","0.914744","True","keep"
,,"T","0.907228","0.092772","0.907228","0.814456","True","keep"
,,"T","0.939375","0.060625","0.939375","0.87875","True","keep"
,,"T","0.898137","0.101863","0.898137","0.796274","True","keep"
,,"T","0.95553","0.04447","0.95553","0.91106","True","keep"
,,"T","0.801096","0.198904","0.801096","0.602192","True","keep"
,,"S","0.951707","0.048293","0.951707","0.903414","True","keep"
,,"S","0.964013","0.035987","0.964013","0.928026","True","keep"
,,"S","0.927895","0.072105","0.927895","0.85579","True","keep"
,,"T","0.962944","0.037056","0.962944","0.925888","True","keep"
,,"S","0.898306","0.101694","0.898306","0.796612","True","keep"
,,"S","0.941353","0.058647","0.941353","0.882706","True","keep"
,,"S","0.307786","0.692214","0.307786","-0.384428","True","keep"
,,"T","0.964285","0.035715","0.964285","0.92857","True","keep"
,,"T","0.978145","0.021855","0.978145","0.95629","True","keep"
,,"S","0.959521","0.040479","0.959521","0.919042","True","keep"
,,"T","0.243409","0.756591","0.243409","-0.513182","True","keep"
,,"S","0.97526","0.02474","0.97526","0.95052","True","keep"
,,"T","0.92357","0.07643","0.92357","0.84714","True","keep"
,,"S","0.964607","0.035393","0.964607","0.929214","True","keep"
,,"T","0.919464","0.080536","0.919464","0.838928","True","keep"
,,"T","0.956336","0.043664","0.956336","0.912672","True","keep"
,,"S","0.924747","0.075253","0.924747","0.849494","True","keep"
,,"T","0.975422","0.024578","0.975422","0.950844","True","keep"
,,"S","0.920677","0.079323","0.920677","0.841354","True","keep"
,,"T","0.928721","0.071279","0.928721","0.857442","True","keep"
,,"S","0.966032","0.033968","0.966032","0.932064","True","keep"
,,"T","0.932161","0.067839","0.932161","0.864322","True","keep"
,,"T","0.910519","0.089481","0.910519","0.821038","True","keep"
,,"T","0.888733","0.111267","0.888733","0.777466","True","keep"
,,"S","0.914488","0.085512","0.914488","0.828976","True","keep"
,,"S","0.966284","0.033716","0.966284","0.932568","True","keep"
,,"S","0.95695","0.04305","0.95695","0.9139","True","keep"
,,"S","0.826783","0.173217","0.826783","0.653566","True","keep"
,,"T","0.862639","0.137361","0.862639","0.725278","True","keep"
,,"T","0.965467","0.034533","0.965467","0.930934","True","keep"
,,"T","0.876395","0.123605","0.876395","0.75279","True","keep"
,,"T","0.927398","0.072602","0.927398","0.854796","True","keep"
,,"T","0.92236","0.07764","0.92236","0.84472","True","keep"
,,"T","0.750152","0.249848","0.750152","0.500304","True","keep"
,,"T","0.732847","0.267153","0.732847","0.465694","True","keep"
,,"T","0.873199","0.126801","0.873199","0.746398","True","keep"
,,"S","0.966689","0.033311","0.966689","0.933378","True","keep"
,,"S","0.975881","0.024119","0.975881","0.951762","True","keep"
,,"T","0.935874","0.064126","0.935874","0.871748","True","keep"
,,"T","0.964109","0.035891","0.964109","0.928218","True","keep"
,,"S","0.96064","0.03936","0.96064","0.92128","True","keep"
,,"S","0.405183","0.594817","0.405183","-0.189634","True","keep"
,,"T","0.960333","0.039667","0.960333","0.920666","True","keep"
,,"T","0.131748","0.868252","0.131748","-0.736504","True","keep"
,,"T","0.962961","0.037039","0.962961","0.925922","True","keep"
